id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier,סוג_מגן,צבע_דומיננטי,תגיות_1,תגיות_2,תגיות_3,תגיות_4,תגיות_5,תגיות_6,תגיות_7,תגיות_8,תגיות_9,תגיות_10,שנת_אימוץ,מעצב,note_1,note_2,note_3,note_4,note_5,note_6,note_7,note_8,color_1,color_2,color_3,color_4,color_5,lat,lng
sajur,סג'ור,Sajur,local,north,druze,found,yes,no,7000,מועצה מקומית,חותם עגול,לא ידוע,שמש,גבעה,עץ,,,,,,,,,,חותם בצורת אליפסה,שמש זורחת מעל עץ על רקע גבעות,,,,,,,,,,,,32.9778,35.2739
mateh-yehuda,מועצה אזורית מטה-יהודה,Mateh Yehuda,regional,jerusalem,jewish,found,yes,no,57000,מועצה אזורית,מרובע,ירוק,אריה,שיבולת חיטה,גלגל שיניים,,,,,,,,,,חותם מרובע ירוק,אריה כסמל שבט יהודה,שתי שיבולים וגלגל חרושת מסמלים את ענפי הפעילות הכלכלית,,,,,,ירוק,לבן,,,,31.75,35.05
gedera,מועצה מקומית גדרה,Gedera,local,center,jewish,found,yes,no,30392,עיירה,חותם עגול,כחול,הר,גבעה,עץ,מוטו,,,,,,,1958,,אומץ בנובמבר 1958,גבעות צהובות על רקע כחול וחום עם עצים ירוקים,"""עלה נעלה וירשנו אותה"" (שלח לך)","""בית יעקב לכו ונלכה"" (יהושע)",,,,,כחול,חום,צהוב,ירוק,,31.8118,34.7726
menashe,מועצה אזורית מנשה,Menashe,regional,haifa,jewish,found,yes,no,15000,מועצה אזורית,חותם עגול,לבן,אריה,,,,,,,,,,2007,,אומץ בינואר 2007,חותם עגול בשחור ולבן,ציור של ראם כסמל שבט מנשה,,,,,,שחור,לבן,,,,32.5167,35.0833
megiddo,מועצה אזורית מגידו,Megiddo,regional,north,jewish,found,yes,no,12200,מועצה אזורית,חותם עגול,לא ידוע,מגן,שדה,מגדל מים,שיבולת חיטה,אריה,,,,,,,,חותם עגול עם שדה חרוש ויישוב עם מגדל מים,גבעות האזור ברקע,שיבולת חיטה לסמל אופי חקלאי,אריה מעל הציור,,,,,,,,,,32.5833,35.1833
baqa-gharbiyye,בקה-אל-גרביה,Baqa al-Gharbiyye,city,haifa,arab,found,yes,no,33000,עיירה,חותם עגול,כחול,מסגד,שדה,ציפור,פרח,,,,,,,,,חותם עגול משלושה חלקים בכחול אפור וירוק,צריח מסגד שדות חרושים ציפור ופרח,,,,,,,כחול,אפור,ירוק,לבן,,32.4179,35.0376
qalansawe,קלנסווה,Qalansawe,city,center,arab,found,yes,no,23877,עיירה,חותם עגול,לבן,מבנה עתיק,פרח,,,,,,,,,,,חותם עגול העטוף בקלפים,ציורי מבנים ותותי שדה ופרח,,,,,,,לבן,אדום,,,,32.2844,34.978
kiryat-yearim,מועצה מקומית קריית-יערים,Kiryat Ye'arim,local,jerusalem,jewish,found,yes,no,5000,מועצה מקומית,חותם עגול,ירוק,הר,עץ,לוחות הברית,,,,,,,,,,איור של הרים ועצים לצד לוחות הברית,האיור מוקף בקו ירוק ובו שם המועצה,,,,,,,ירוק,לבן,,,,31.8103,35.11
migdal,מועצה מקומית מגדל,Migdal,local,north,jewish,found,yes,no,3000,מועצה מקומית,חותם עגול,ירוק,דקל,נחל,,,,,,,,,,,חותם עגול המציג גדת נחל עליה צומח עץ דקל,שם המועצה יוצר עיגול סביב הדקל,,,,,,,,,,,,32.8333,35.5028
drom-hasharon,מועצה אזורית דרום-השרון,Drom HaSharon,regional,center,jewish,found,yes,no,34327,מועצה אזורית,חותם עגול,ירוק,מבנה עתיק,שדה,נחל,עץ,,,,,,,,,חותם עגול עם ציור של תל אפק,שדות חרושים ונחל הירקון למרגלות,עץ בחזית,,,,,,,,,,,32.2111,34.925
hevel-yavne,מועצה אזורית חבל-יבנה,Hevel Yavne,regional,center,jewish,found,yes,no,6920,מועצה אזורית,חותם עגול,לא ידוע,מבנה עתיק,שדה,ענבים,,,,,,,,,,חותם עגול עם בית המדרש של ישיבת כרם ביבנה,שדות חרושים בסמל,אשכולות ענבים משני הצדדים,,,,,,,,,,,31.8228,34.765
hof-hakarmel,מועצה אזורית חוף-הכרמל,Hof HaKarmel,regional,haifa,jewish,found,yes,no,36000,מועצה אזורית,חותם עגול,כחול,גבעה,ים,חיטה,ספינה,,,,,,,,,חותם עגול בכחול ולבן,גבעות הסמוכות לחוף הים,שיבולי חיטה עמוד רומי וספינה,,,,,,כחול,לבן,,,,32.6667,34.95
maale-yosef,מועצה אזורית מעלה-יוסף,Maale Yosef,regional,north,jewish,found,yes,no,11605,מועצה אזורית,חותם עגול,ירוק,עץ,,,,,,,,,,,,חותם עגול עם שדה לבן,עץ ירוק במרכז,,,,,,,לבן,ירוק,,,,33.0833,35.2167
kawkab-abu-al-hija,כאוכב אבו אל-היג'א,Kawkab Abu al-Hija,local,north,arab,found,yes,no,3724,מועצה מקומית,חותם עגול,לא ידוע,שמש,הר,עץ,ציפור,כוכבים,,,,,,,,חותם עגול עם שמש זורחת מעל רכס הרים,עץ בודד מוקף ציפורים,כוכב מחומש אדום בראש,,,,,,,,,,,32.8406,35.3161
bnei-ayish,"בני-עי""ש",Bnei Ayish,local,center,arab,found,yes,no,6895,מועצה מקומית,חותם עגול,כתום,גלגל שיניים,שמש,לוחות הברית,זית,,,,,,,1986,,אומץ בינואר 1986,גלגל שיניים כתום מסמל את ערך העבודה,בית כפרי עם תלמים מסמל אופי כפרי,לוחות הברית מסמלים ערכי יהדות,שמש אדומה עם 11 קרניים מסמלת חופש,ענף זית מסמל שלום,,,כתום,כחול,אדום,לבן,,31.7977,34.7361
eilaboun,עילבון,Eilaboun,local,north,arab,found,yes,no,5812,מועצה מקומית,חותם עגול,לא ידוע,שמש,גבעה,ספר,,,,,,,,,,מסודר בצורת עיגול,שמש זורחת מעל גבעות בראש,ספר עם תווי מוזיקה וסרגל ומחוגה,לחיצת ידיים בתחתית,הסמל תחום בזרי דפנה,,,,,,,,,32.8236,35.3633
zarzir,זרזיר,Zarzir,local,haifa,arab,found,yes,no,13000,מועצה מקומית,חותם עגול,צהוב,גלגל שיניים,שמש,ציפור,שדה,,,,,,,,,צורת גלגל שיניים עם ציורים,שמש זורחת בצהוב ושחור,זרזיר עומד על ענף,מאהל ושדות חרושים,שם המועצה בעברית וערבית,,,,צהוב,שחור,,,,32.7133,35.2831
shomron,מועצה אזורית שומרון,Shomron,regional,judea-samaria,jewish,found,yes,no,25000,מועצה אזורית,מגן,לא ידוע,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,35.15
fureidis,פורידיס,Fureidis,local,haifa,arab,found,yes,no,15000,מועצה מקומית,חותם עגול,לא ידוע,,,,,,,,,,,,,,,,,,,,,,,,,,32.5711,34.9561
kfar-tavor,מועצה מקומית כפר-תבור,Kfar Tavor,local,north,jewish,found,yes,no,4425,מועצה מקומית,אחר,צהוב,הר,חיטה,,,,,,,,,,,רקע קיר אבן צהוב,צללית הר תבור ובתוכה ציור היישוב בהקמתו,שיבולי חיטה משני הצדדים,,,,,,צהוב,,,,,32.6861,35.4261
beer-tuvia,מועצה אזורית באר-טוביה,Beer Tuvia,regional,south,jewish,found,yes,no,23841,מועצה אזורית,אחר,לא ידוע,,,,,,,,,,,,,,,,,,,,,,,,,,31.7333,34.7
binyamin,מועצה אזורית מטה-בנימין,Mateh Binyamin,regional,judea-samaria,jewish,found,yes,no,15000,מועצה אזורית,סמליל,לא ידוע,,,,,,,,,,,,,סמל המועצה הוא סמל שבט בנימין: זאב,"""בנימין זאב יטרף בבקר יאכל עד ולערב יחלק שלל"" (בראשית מ""ט, כ""ז)",,,,,,,,,,,,31.9,35.25
golan,גולן,Golan,regional,north,mixed,found,no,yes,19214,מועצה אזורית,לוגו,לא ידוע,,,,,,,,,,,2005,,לוגו הכולל את שם המועצה,,,,,,,,,,,,,33.05,35.85
hatzor-haglilit,מועצה מקומית חצור-הגלילית,Hatzor Haglilit,local,north,jewish,found,yes,no,9764,מועצה מקומית,לוגו,ירוק,עץ,,,,,,,,,,2019,,לוגו עם צורת עלה בצבעי ירוק כחול סגול וצהוב,שם המועצה בצהוב וירוק,,,,,,,ירוק,כחול,סגול,צהוב,,32.9808,35.5511
majdal-shams,מג'דל-שמס,Majdal Shams,local,north,druze,found,yes,no,11405,מועצה מקומית,לוגו,כחול,הר,שמש,,,,,,,,,,,לוגו בצורת הר עם שמש מאחוריו,תפוח לצד הסמל,שם המועצה בערבית עברית ואנגלית,,,,,,כחול,,,,,33.2717,35.7697
galil-elion,מועצה אזורית גליל-עליון,Galil Elion,regional,north,jewish,found,yes,no,19440,מועצה אזורית,לוגו,ירוק,ציפור,,,,,,,,,,2010,,עגורים המסמלים את נדידת הציפורים באגמון חולה,הצבע הירוק מסמל את מרחבי המועצה,,,,,,,ירוק,,,,,33.0833,35.5
tel-aviv,תל-אביב-יפו,Tel Aviv-Yafo,city,tel-aviv,mixed,found,yes,no,460000,מטרופולין,מגן,ירוק,מגן,גלים,כוכבים,מגדל מים,מוטו,,,,,,1925,נחום גוטמן,עוצב ב-1925 ביוזמת ראש העיר מאיר דיזנגוף,גוטמן התייעץ עם ש. בן ציון ועם חיים נחמן ביאליק,המגדלור מסמל כוונה לגולה לשוב ארצה,שבעת הכוכבים מבוססים על חזון הרצל ליום עבודה של 7 שעות,ב-1927 עוצב הסמל מחדש ובשנות ה-30 נערכו שינויים נוספים,ב-1950 לאחר האיחוד עם יפו הוחלפה הכתובת,"""עוד אבנך ונבנית בתולת ישראל"" (ירמיהו ל""א, ג') הוא מוטו הסמל",ב-2009 לרגל חגיגות המאה אומץ סמליל עיגול צבעוני,ירוק,אדום,לבן,,,32.0853,34.7818
petah-tikva,פתח-תקווה,Petah Tikva,city,center,jewish,found,yes,no,252270,מטרופולין,מגן,כחול,מחרשה,שדה,תפוז,מוטו,,,,,,,1958,,הסמל מבוסס על בול פתח תקווה משנת 1908,הבול נחשב לבול העברי הראשון בארץ ישראל,הבול הונפק ביוזמת יצחק גולדנהירש,המחרשה מסמלת את עבודת האדמה מ-1878,השדות מסמלים את ייבוש ביצות הירקון,"""עובד אדמתו ישבע לחם"" (משלי) מופיע בתחתית הסמל",ב-2008 אומץ סמליל ממותג וב-2018 הוחזר הסמל המקורי,,כחול,לבן,,,,32.0872,34.8867
beer-sheva,באר-שבע,Beer Sheva,city,south,jewish,found,yes,no,211251,מטרופולין,מגן,ירוק,עץ,מגדל מים,מוטו,,,,,,,,1972,חזי מור,עוצב ב-1972 על ידי חזי מור,עץ האשל מסמל בניין ופיתוח,שנים עשר עמודים מייצגים את שנים עשר שבטי ישראל,הסמל הקודם אומץ ב-1950 וכלל עץ אשל צינור מים ומפעל,הסמל הקודם הונצח על בול דואר ב-1965 בעיצוב האחים שמיר,ב-2012 אומץ סמליל ממותג חדש,"""ויטע אשל בבאר שבע"" (בראשית כ""א, ל""ג)",,ירוק,לבן,,,,31.2518,34.7913
bat-yam,בת-ים,Bat Yam,city,tel-aviv,jewish,found,yes,no,159000,עיר גדולה,מגן,כחול,מגן,חומה,ספינה,גלים,גלגל שיניים,כוכבים,,,,,1959,זאב שבזנר,עוצב על ידי מהנדס המועצה זאב שבזנר,קיבל מעמד רשמי ומוגן ב-1959 עם הכרתה כעיר,מפרשית מייצגת את הקשר לשייט ותיירות,גלגל שיניים מסמל את התעשייה,ששה כוכבים מייצגים את ששת ימי הבריאה,הסמל הופיע על בול דואר בעיצוב האחים שמיר ב-1969,,,כחול,אדום,תכלת,צהוב,,32.021,34.7505
ramat-gan,רמת-גן,Ramat Gan,city,tel-aviv,jewish,found,yes,no,162000,עיר גדולה,מגן,ירוק,מגן,כוכבים,שמש,דקל,ענבים,הדר,מחרשה,חומה,מפעל,ארובה,1958,,אומץ רשמית בנובמבר 1958,כוכב משושה גדול מזכיר מגן דוד,שבעה כוכבים קטנים מסמלים את חזון הרצל,"שמש מסמלת את האור ו""היום החדש לעם ישראל""",עץ תמר ואשכול ענבים מסמלים את העבר החקלאי,"חומת אבן ושלושה עצים מסמלים את העיר כ""עיר גנים""",הסמל הופיע על בול דואר ב-1969 בעיצוב האחים שמיר,,ירוק,לבן,זהוב,,,32.0684,34.8248
hadera,חדרה,Hadera,city,haifa,jewish,found,yes,no,100000,עיר גדולה,מגן,ירוק,מגן,עץ,ספינה,מגדל מים,פרדס,שדה,מוטו,,,,1941,,אומץ ב-1941 לרגל חגיגות יובל העיר,עץ האקליפטוס מסמל את ראשית ההתיישבות וייבוש הביצות,שרידי החאן בו התגוררו ראשוני המתיישבים מופיעים בסמל,קני הסוף שנתנו לעיר את שמה הערבי מופיעים בסמל,ספינה מסמלת את הנמל העברי הראשון בעיר ועלייה דרך הים,הסמל הופיע על בול דואר בעיצוב האחים שמיר ב-1969,"""הזורעים בדמעה ברינה יקצורו"" (תהילים קכ""ו, ה')",,ירוק,כחול,לבן,,,32.434,34.9198
beit-shean,בית-שאן,Beit Shean,city,north,jewish,found,yes,yes,18900,מועצה מקומית,מגן,חום,מגן,דקל,גלים,מנורה,חומה,הר,,,,,1983,,הסמל הראשון עוצב ב-1956 בהוראת ראש העיר אפרים דובק,הסמל הנוכחי עודכן ב-1983 על פי מדליון שהפיקה החברה הממשלתית למדליות,עץ התמר מסמל את שבט מנשה שבית שאן בנחלתו,גלים כחולים מסמלים את שפע המעיינות באזור,מחתה שופר ומנורה נמצאו על רצפת הפסיפס בבית הכנסת בתל אצטבה,תיאטרון רומי מסמל את עתיקות העיר,הסמל הופיע על בול דואר ב-1965 בעיצוב האחים שמיר,"""ממגד שמים מעל ומתהום רובצת תחת""",חום,לבן,,,,32.5011,35.5019
kiryat-motzkin,קריית-מוצקין,Kiryat Motzkin,city,haifa,jewish,found,yes,no,43000,עיירה,מגן,כחול,מגן,עץ,ספינה,מגדל מים,גלים,,,,,,2012,"אברהם ניסטי (1946), עוצב מחדש 2012",ההחלטה הראשונה על הסמל התקבלה ב-23 בינואר 1946,עיצוב הסמל המקורי מאת אברהם ניסטי מורה לאמנות,מגדל המים מסמל את המבנה הראשון שנבנה במועצה,הסירה מסמלת את שבט זבולון ואת המעפילים,"""זבולון לחוף ימים ישכון"" (דברים ל""ג)",הסמל עבר שינויים ב-1956 בשנות ה-70 ב-2000 וב-2012,ב-2017 אומץ סמליל ממותג מודרני,,כחול,לבן,,,,32.8355,35.0765
kiryat-yam,קריית-ים,Kiryat Yam,city,haifa,jewish,found,yes,no,40000,עיירה,מגן,לבן,מגן,ספינה,ים,,,,,,,,,,מגן מחומש שחור חצוי בקו שחור,ספינה שטה בים בצד שמאלי,מבנים ועצים בצד ימני,,,,,,שחור,לבן,,,,32.8469,35.0623
sakhnin,סח'נין,Sakhnin,city,north,arab,found,yes,no,32000,עיירה,מגן,ירוק,מגן,שמש,הר,ספינה,גלגל שיניים,זית,,,,,2000,,אומץ ב-31 במאי 2000,שמש מאחורי הרים הצופים על עמק,מנוף בונה מבנה,ספר ועט נוצה מייצגים חינוך,גלגל שיניים וענף זית,,,,,,,,,32.8678,35.2941
yokneam,יקנעם-עילית,Yokneam Illit,city,haifa,jewish,found,yes,no,23000,עיירה,מגן,ירוק,מגן,פרח,מפעל,הר,,,,,,,1961,,אומץ ב-28 בדצמבר 1961,"ורד מסמל את יקנעם כ""ורד העמקים""",שלושה מבני תעשייה מסמלים את פארקי התעשייה בעיר,הסמל הקודם אומץ אף הוא ב-28 בדצמבר 1961 כמועצה מקומית,עם הפיכתה לעיר שונה הסמל לגרסה הנוכחית,,,,ירוק,לבן,,,,32.6587,35.1011
modiin-illit,מודיעין-עילית,Modiin Illit,city,judea-samaria,jewish,found,yes,no,80000,עיר,מגן,תכלת,מגן,כתר,לוחות הברית,,,,,,,,,,מגן בתכלת עם תמונת כתר המסמל כתר התורה,קלף ועליו שם העיר,,,,,,,תכלת,לבן,זהוב,,,31.9298,35.0457
givat-shmuel,גבעת-שמואל,Givat Shmuel,city,tel-aviv,jewish,found,yes,no,28162,עיירה,מגן,לא ידוע,מגן,מגדל מים,נחל,,,,,,,,,,מגן עם תמונת נוף של מבני העיר מגדל מים ונחל,קלף גדול בראש הסמל,,,,,,,,,,,,32.0786,34.8497
maalot-tarshiha,מעלות-תרשיחא,Maalot Tarshiha,city,north,mixed,found,yes,no,22315,עיירה,מגן,זהוב,מגן,ים,ספינה,הר,,,,,,,,,מגן זהוב עם ציור נוף הכולל אגם מוקף הרים,ספינת מפרש שטה באגם,לפיד הוא המוטיב המרכזי,,,,,,זהוב,לבן,,,,33.0155,35.2718
or-akiva,אור-עקיבא,Or Akiva,city,haifa,jewish,found,yes,no,19000,מועצה מקומית,מגן,כחול,מגן,לוחות הברית,מבנה עתיק,מוטו,,,,,,,,,מגן כחול עם חותם עגול חצוי בברק,מבנים עתיקים בחצי שמאלי ומבנים חדשים בחצי ימני,לוחות הברית קורנים בדומה לשמש,"""והיה ראשיתך מצער ואחריתך ישגה מאוד""",,,,,כחול,לבן,,,,32.5033,34.9167
gan-yavne,מועצה מקומית גן-יבנה,Gan Yavne,local,center,jewish,found,yes,no,24251,עיירה,מגן,ירוק,מגן,תפוז,,,,,,,,,1968,,אומץ באוגוסט 1968,מגן ירוק עם בתי מגורים ותפוזים כתומים,,,,,,,ירוק,לבן,כתום,,,31.7883,34.7111
gezer,מועצה אזורית גזר,Gezer,regional,center,jewish,found,yes,no,27622,מועצה אזורית,מגן,לבן,מגן,מבנה עתיק,,,,,,,,,,,מגן בצבעי לבן וסגול,שרטוט תל גזר ומתחתיו שרטוט המערות שנמצאו בתל,כד בתחתית מסמל עתיקות שנמצאו בתל,,,,,,לבן,סגול,,,,31.8575,34.9308
jerusalem,ירושלים,Jerusalem,city,jerusalem,mixed,found,yes,no,970000,מטרופולין,מגן,כחול,מגן,חומה,ענף,אריה,,,,,,,1949,"אליהו קורן, פרנצ'סקה ברוך, עמנואל גראו, איתמר דוד, עלי גרוס, צבי נרקיס",נבחר לאחר תחרות שנפתחה בדצמבר 1948,29 הצעות נדחו בתחרות הראשונה ופרסים הוגדלו,נבחרה הצעת אגודת הציירים הירושלמים לגרפיקה שימושית,האריה השואג מסמל את שבט יהודה וממלכת יהודה,חומות ירושלים מסמלות את העיר העתיקה ואבני הכותל,עלי זית מסמלים שלום ואת עצי הזית באזור,בתקופת המנדט הייתה הצעה לסמל שכלל יונה ומגדל דוד,בשנת 1958 אומץ דגל עירוני בתכלת עם שני פסים לבנים,כחול,לבן,זהוב,,,31.7683,35.2137
haifa,חיפה,Haifa,city,haifa,mixed,found,yes,no,285000,מטרופולין,מגן,תכלת,מגן,מבצר,ספינה,ענף,מגדל מים,גלים,,,,,1936,אסתר ברלין-יואל,אושר על ידי מועצת העיר ב-22 ביוני 1936,ראש העיר חסן שוכרי יזם תחרות ב-1935,ועדה משותפת ליהודים ערבים ונוצרים בחרה את הסמל,"מבצר עתיק ששמו הערבי ""בורג' א-סלאם"" מסמל שלום",ענף זית חוצה את המבצר כסמל שלום,שם העיר מופיע בעברית ערבית ואנגלית,ב-1948 הועבר שם העיר בעברית למרכז הקלף,ב-2010 עוצב סמליל ממותג וב-2019 הוחלף לגרסה חדשה,אדום,תכלת,כחול,,,32.794,34.9896
rishon-lezion,ראשון-לציון,Rishon LeZion,city,center,jewish,found,yes,no,257128,מטרופולין,מגן,כחול,ענבים,באר,הדר,שדה,מפעל,,,,,,1942,,הסמל נוצר ב-1942 לציון 60 שנה למושבה,הגפן ואשכול הענבים מסמלים את תעשיית היין,"הבאר עם הכיתוב ""מצאנו מים"" מסמלת את הבאר הראשונה",עץ הדר מסמל את פרדסי ההדרים,ב-2012 אומץ סמליל ממותג עץ וב-2018 הוחזר הסמל המקורי,,,,כחול,לבן,ירוק,,,31.973,34.7925
ashdod,אשדוד,Ashdod,city,south,jewish,found,yes,no,225975,מטרופולין,מגן,כחול,אריה,עוגן,מפרשים,ים,,,,,,,1962,"יצחק בכר, ב-2016 פערי אויש",הסמל הראשון נבחר ב-1962 מתוך 119 הצעות,ראש האריה מסמל את שבט יהודה,העוגן מסמל את נמל אשדוד,ב-2016 אומץ סמל חדש לרגל 60 שנה לעיר,הסמל החדש כולל מפרשים מכיכר יהודי סלוניקי וראש אריה,הסמל הישן הונצח על בול דואר ב-1965 בעיצוב האחים שמיר,,,כחול,לבן,כתום,,,31.8044,34.6553
netanya,נתניה,Netanya,city,center,jewish,found,yes,no,224066,מטרופולין,מגן,כחול,מגן,פרח,גלים,ארובה,,,,,,,1951,יעקב צים,הסמל המקורי עוצב ב-1951 על ידי יעקב צים,חבצלת השרון צומחת לאורך המצוק החופי,ארובות מסמלות את התעשייה,יהלום מסמל את תעשיית היהלומים,ב-2015 הוצג סמל חדש שהתגלה כהעתק מסמל מסעדה ובוטל,הסמל הופיע על בול דואר ב-1969 בעיצוב האחים שמיר,,,כחול,לבן,כתום,,,32.3328,34.86
bnei-brak,בני-ברק,Bnei Brak,city,tel-aviv,jewish,found,yes,no,210000,מטרופולין,מגן,כחול,מגן,חומה,שמש,גבעה,מוטו,,,,,,1937,שכנא רוטנברג,הרעיון לסמל הוגה על ידי גזבר המועצה שכנא רוטנברג,שתי גבעות מייצגות את גבעת רוקח וגבעת הישיבה,השמש הזורחת מבוססת על הסיפור בהגדה של פסח על לילת הסדר בבני ברק,לוחות הברית מייצגים את צביונה התורני של העיר,,,,,כחול,צהוב,,,,32.0837,34.8337
